id,n
http://ACM_CSS_SKOS#10010164,2
http://ACM_CSS_SKOS#10010170,2
http://ACM_CSS_SKOS#10010172,2
http://ACM_CSS_SKOS#10010175,2
http://ACM_CSS_SKOS#10010177,2
http://ACM_CSS_SKOS#10010179,2
http://ACM_CSS_SKOS#10010187,2
http://ACM_CSS_SKOS#10010199,2
http://ACM_CSS_SKOS#10010205,2
http://ACM_CSS_SKOS#10010213,2
http://ACM_CSS_SKOS#10010216,2
http://ACM_CSS_SKOS#10010219,2
http://ACM_CSS_SKOS#10010224,2
http://ACM_CSS_SKOS#10010258,2
http://ACM_CSS_SKOS#10010282,2
http://ACM_CSS_SKOS#10010293,2
http://ACM_CSS_SKOS#10010321,2
http://ACM_CSS_SKOS#10010339,2
http://ACM_CSS_SKOS#10010342,2
http://ACM_CSS_SKOS#10010346,2
http://ACM_CSS_SKOS#10010349,2
http://ACM_CSS_SKOS#10010352,2
http://ACM_CSS_SKOS#10010366,2
http://ACM_CSS_SKOS#10010370,2
http://ACM_CSS_SKOS#10010372,2
http://ACM_CSS_SKOS#10010382,2
http://ACM_CSS_SKOS#10010387,2
http://ACM_CSS_SKOS#10010395,2
http://ACM_CSS_SKOS#10010396,2
http://ACM_CSS_SKOS#10010412,2
http://ACM_CSS_SKOS#10010417,2
http://ACM_CSS_SKOS#10010421,2
http://ACM_CSS_SKOS#10010422,2
http://ACM_CSS_SKOS#10010423,2
http://ACM_CSS_SKOS#10010424,2
http://ACM_CSS_SKOS#10010425,2
http://ACM_CSS_SKOS#10010426,2
http://ACM_CSS_SKOS#10010427,2
http://ACM_CSS_SKOS#10010428,2
http://ACM_CSS_SKOS#10010429,2
http://ACM_CSS_SKOS#10010430,2
http://ACM_CSS_SKOS#10010431,2
http://ACM_CSS_SKOS#10010433,2
http://ACM_CSS_SKOS#10010434,2
http://ACM_CSS_SKOS#10010435,2
http://ACM_CSS_SKOS#10010436,2
http://ACM_CSS_SKOS#10010437,2
http://ACM_CSS_SKOS#10010439,2
http://ACM_CSS_SKOS#10010441,2
http://ACM_CSS_SKOS#10010442,2
http://ACM_CSS_SKOS#10010443,2
http://ACM_CSS_SKOS#10010446,2
http://ACM_CSS_SKOS#10010447,2
http://ACM_CSS_SKOS#10010449,2
http://ACM_CSS_SKOS#10010450,2
http://ACM_CSS_SKOS#10010452,2
http://ACM_CSS_SKOS#10010456,2
http://ACM_CSS_SKOS#10010458,2
http://ACM_CSS_SKOS#10010459,2
http://ACM_CSS_SKOS#10010460,2
http://ACM_CSS_SKOS#10010461,2
http://ACM_CSS_SKOS#10010463,2
http://ACM_CSS_SKOS#10010464,2
http://ACM_CSS_SKOS#10010465,2
http://ACM_CSS_SKOS#10010466,2
http://ACM_CSS_SKOS#10010467,2
http://ACM_CSS_SKOS#10010468,2
http://ACM_CSS_SKOS#10010470,2
http://ACM_CSS_SKOS#10010471,2
http://ACM_CSS_SKOS#10010472,2
http://ACM_CSS_SKOS#10010473,2
http://ACM_CSS_SKOS#10010474,2
http://ACM_CSS_SKOS#10010475,2
http://ACM_CSS_SKOS#10010477,2
http://ACM_CSS_SKOS#10010478,2
http://ACM_CSS_SKOS#10010479,2
http://ACM_CSS_SKOS#10010480,2
http://ACM_CSS_SKOS#10010482,2
http://ACM_CSS_SKOS#10010483,2
http://ACM_CSS_SKOS#10010484,2
http://ACM_CSS_SKOS#10010485,2
http://ACM_CSS_SKOS#10010487,2
http://ACM_CSS_SKOS#10010488,2
http://ACM_CSS_SKOS#10010490,2
http://ACM_CSS_SKOS#10010491,2
http://ACM_CSS_SKOS#10010492,2
http://ACM_CSS_SKOS#10010493,2
http://ACM_CSS_SKOS#10010494,2
http://ACM_CSS_SKOS#10010495,2
http://ACM_CSS_SKOS#10010496,2
http://ACM_CSS_SKOS#10010498,2
http://ACM_CSS_SKOS#10010500,2
http://ACM_CSS_SKOS#10010504,2
http://ACM_CSS_SKOS#10010510,2
http://ACM_CSS_SKOS#10010522,2
http://ACM_CSS_SKOS#10010528,2
http://ACM_CSS_SKOS#10010537,2
http://ACM_CSS_SKOS#10010542,2
http://ACM_CSS_SKOS#10010554,2
http://ACM_CSS_SKOS#10010559,2
http://ACM_CSS_SKOS#10010560,2
http://ACM_CSS_SKOS#10010562,2
http://ACM_CSS_SKOS#10010571,2
http://ACM_CSS_SKOS#10010572,2
http://ACM_CSS_SKOS#10010573,2
http://ACM_CSS_SKOS#10010574,2
http://ACM_CSS_SKOS#10010577,2
http://ACM_CSS_SKOS#10010578,2
http://ACM_CSS_SKOS#10010579,2
http://ACM_CSS_SKOS#10010580,2
http://ACM_CSS_SKOS#10010581,2
http://ACM_CSS_SKOS#10010582,2
http://ACM_CSS_SKOS#10010585,2
http://ACM_CSS_SKOS#10010586,2
http://ACM_CSS_SKOS#10010587,2
http://ACM_CSS_SKOS#10010590,2
http://ACM_CSS_SKOS#10010591,2
http://ACM_CSS_SKOS#10010592,2
http://ACM_CSS_SKOS#10010593,2
http://ACM_CSS_SKOS#10010594,2
http://ACM_CSS_SKOS#10010595,2
http://ACM_CSS_SKOS#10010596,2
http://ACM_CSS_SKOS#10010597,2
http://ACM_CSS_SKOS#10010598,2
http://ACM_CSS_SKOS#10010601,2
http://ACM_CSS_SKOS#10010602,2
http://ACM_CSS_SKOS#10010607,2
http://ACM_CSS_SKOS#10010612,2
http://ACM_CSS_SKOS#10010615,2
http://ACM_CSS_SKOS#10010622,2
http://ACM_CSS_SKOS#10010628,2
http://ACM_CSS_SKOS#10010634,2
http://ACM_CSS_SKOS#10010640,2
http://ACM_CSS_SKOS#10010645,2
http://ACM_CSS_SKOS#10010649,2
http://ACM_CSS_SKOS#10010650,2
http://ACM_CSS_SKOS#10010651,2
http://ACM_CSS_SKOS#10010652,2
http://ACM_CSS_SKOS#10010653,2
http://ACM_CSS_SKOS#10010654,2
http://ACM_CSS_SKOS#10010655,2
http://ACM_CSS_SKOS#10010656,2
http://ACM_CSS_SKOS#10010659,2
http://ACM_CSS_SKOS#10010663,2
http://ACM_CSS_SKOS#10010668,2
http://ACM_CSS_SKOS#10010673,2
http://ACM_CSS_SKOS#10010674,2
http://ACM_CSS_SKOS#10010684,2
http://ACM_CSS_SKOS#10010689,2
http://ACM_CSS_SKOS#10010690,2
http://ACM_CSS_SKOS#10010696,2
http://ACM_CSS_SKOS#10010697,2
http://ACM_CSS_SKOS#10010705,2
http://ACM_CSS_SKOS#10010712,2
http://ACM_CSS_SKOS#10010721,2
http://ACM_CSS_SKOS#10010728,2
http://ACM_CSS_SKOS#10010733,2
http://ACM_CSS_SKOS#10010738,2
http://ACM_CSS_SKOS#10010739,2
http://ACM_CSS_SKOS#10010740,2
http://ACM_CSS_SKOS#10010744,2
http://ACM_CSS_SKOS#10010745,2
http://ACM_CSS_SKOS#10010746,2
http://ACM_CSS_SKOS#10010747,2
http://ACM_CSS_SKOS#10010748,2
http://ACM_CSS_SKOS#10010749,2
http://ACM_CSS_SKOS#10010751,2
http://ACM_CSS_SKOS#10010755,2
http://ACM_CSS_SKOS#10010758,2
http://ACM_CSS_SKOS#10010762,2
http://ACM_CSS_SKOS#10010769,2
http://ACM_CSS_SKOS#10010777,2
http://ACM_CSS_SKOS#10010787,2
http://ACM_CSS_SKOS#10010792,2
http://ACM_CSS_SKOS#10010799,2
http://ACM_CSS_SKOS#10010805,2
http://ACM_CSS_SKOS#10010808,2
